Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1u","C_0402_1005Metric",184.430000,-96.640000,-90.000000,top
"C3","0.1u","C_0402_1005Metric",174.660000,-97.070000,180.000000,top
"C4","0.1u","C_0402_1005Metric",184.910000,-108.920000,0.000000,top
"CR1","PESD5V0C1BSFYL","PESD5V0C1BSFYL_NEX",173.840000,-98.160000,0.000000,top
"J1","Conn_01x01_Male","Pin_D1.3mm_L11.0mm",174.670000,-94.020000,0.000000,top
"J2","Conn_01x01_Male","Pin_D1.3mm_L11.0mm",178.280000,-94.090000,0.000000,top
"J3","Conn_01x01_Male","Pin_D1.3mm_L11.0mm",181.920000,-94.140000,0.000000,top
"R1","10k","R_0402_1005Metric",185.990000,-107.610000,0.000000,top
"U1","STM32L431RCTx","LQFP-64_10x10mm_P0.5mm",179.775001,-102.850002,180.000000,top
