Designator,Mid X,Mid Y,Layer,Rotation
C3,108.600812,-139.93,top,45
C4,116.18488,-142.19012,top,45
C5,115.09012,-141.08488,top,45
C6,94.471812,-157.9535,top,90
C7,112.000692,-140.23988,top,135
C8,106.400692,-141.12988,top,135
C9,116.130812,-144.47,top,45
C10,102.210812,-147.8325,top,90
C11,117.640812,-148.8125,top,-90
C12,102.320812,-154.4475,top,90
C13,107.398312,-144.17,top,0
C14,100.660812,-147.8425,top,90
C15,105.548312,-165.4,top,180
C16,115.840812,-157.92,top,0
C17,115.803312,-159.45,top,0
C18,105.545812,-163.825,top,180
C20,133.980812,-155.4825,top,90
C21,140.863312,-156.58,top,0
C22,140.918312,-169.1,top,0
C23,140.918312,-170.7,top,0
C24,122.153312,-154.38,top,0
C25,122.610812,-145.94,top,180
C26,83.260812,-153.6775,top,-90
C27,89.120812,-153.6475,top,-90
C28,92.947812,-154.6515,top,-90
C29,92.890812,-157.9825,top,90
D1,141.77,-141.1375,top,-90
D3,137.42,-141.1625,top,-90
F1,134.390812,-154.53,top,-90
J1,134.76,-136.73,top,-90
J2,128.050812,-147.71,top,90
J3,134.780813,-174.489989,top,180
J4,125.880812,-163.81,top,90
J5,117.070812,-163.77,top,90
J6,126.080812,-154.67,top,0
L1,122.373312,-148.23,top,0
R1,76.228312,-154.82,top,0
R3,114.733312,-138.46,top,180
R4,102.223312,-138.49,top,180
R5,87.888312,-138.67,top,180
R10,140.863312,-154.77,top,0
R13,98.740812,-144.46,top,-90
R14,96.960812,-148.9325,top,-90
R15,96.800812,-145.4675,top,90
R17,95.320812,-150.1825,top,90
R18,124.18,-142.81,top,-90
R19,124.160812,-139.3775,top,-90
R20,122.540812,-139.4225,top,-90
R21,120.910812,-139.4325,top,-90
R22,119.290812,-139.42,top,-90
R23,119.700812,-154.05,top,90
R25,99.190812,-154.4525,top,90
R26,100.750812,-154.4725,top,-90
R27,85.660812,-157.3975,top,90
R28,99.150812,-147.85,top,90
R32,89.670812,-157.3975,top,-90
R34,101.263312,-143.72,top,180
R35,101.243312,-145.32,top,0
R37,138.7,-141.71,top,-90
R39,140.5,-141.71,top,-90
R342,87.650812,-157.3775,top,90
U1,70.691547,-157.988904,top,90
U3,122.570073,-135.769092,top,-90
U4,108.610985,-135.770481,top,-90
U5,94.626961,-135.763288,top,-90
U6,138.373312,-156.14,top,180
U7,113.67913,-143.338318,top,135
U8,110.331472,-141.891421,top,-45
U9,98.945812,-162.6375,top,-90
U10,109.925812,-151.81,top,-90
U11,109.110812,-164.1275,top,90
U12,138.440812,-162.8,top,90
U13,138.640812,-171.34,top,180
U14,86.180812,-153.69,top,0
U15,81.090812,-168.86,top,90
U16,121.880812,-151.84,top,90
