"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";11;"0.1u";;;
2;"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";11;"200";;;
3;"J2,J1";"PinHeader_1x03_P2.54mm_Horizontal";2;"Conn_01x03_Pin";;;
4;"D5,D9,D10,D4,D2,D6,D8,D1,D11,D7,D3";"LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm";11;"WS2813";;;
