Comment,Designator,Footprint
TPS22918DBVR,U5,SOT-23-6
CAT24C256WI,U8,SOIC_8 _3.9x4.9 mm
"4.3pF, +/- 0.1 pF",C17,0603
TPS22918DBVR,U2,SOT-23-6
1M,R7,0603
0 ohm,R11,0603
1uF,C14,0603
1M,R8,0603
"BSS138P,215",Q2,SOT-23-3
1M,R16,0603
"BSS138P,215",Q1,SOT-23-3
"4.3pF, +/- 0.1 pF",C15,0603
0 ohm,R26,0603
TLV1117LV33DCYR,U1,SOT-223
STM32L433CCT6,U3,LQFP-48_7.0x7.0x0.5P
0 ohm,R13,0603
10u,C12,0603
10u,C11,0603
10u,C2,0603
Q13FC1350000300,Y1,SMD-3215_2P
